denom,type,stat,alpha,sample_mean,sample_sd
10,PA,K_pct,0.229801719,2.079080202,1.440712324
10,PA,BB_pct,0.067612153,0.77425687,0.872081674
10,PA,OBP,0.072653441,2.980650589,1.496106672
10,PA,HR,0.102586888,0.215928211,0.482436336
10,PA,HBP,0.051057162,0.093662367,0.311858551
10,PA,X1B,0.048359138,1.455692653,1.140175356
10,PA,wOBA,0.084112453,2.962077958,1.622004655
10,PA,2B_pct,0.02583766,0.425687044,0.646016397
10,PA,3B_pct,0.027213042,0.043746495,0.211304336
20,PA,K_pct,0.346547279,4.117906498,2.207721709
20,PA,BB_pct,0.159577878,1.528079976,1.289729607
20,PA,OBP,0.110293412,5.991767127,2.165081813
20,PA,HR,0.155434399,0.423698912,0.697569281
20,PA,HBP,0.0809826,0.1764187,0.435264889
20,PA,X1B,0.06375386,2.976183475,1.642010144
20,PA,wOBA,0.125895965,5.953593943,2.349574328
20,PA,2B_pct,0.079299634,0.859159071,0.943014128
20,PA,3B_pct,0.068941689,0.08820935,0.306564068
30,PA,K_pct,0.42334209,6.122996301,2.87191492
30,PA,BB_pct,0.210602378,2.304562269,1.634417489
30,PA,OBP,0.099620887,9.103884094,2.648953916
30,PA,HR,0.185751043,0.674167694,0.89618289
30,PA,HBP,0.064797908,0.27188656,0.536142402
30,PA,X1B,0.073201622,4.498458693,2.028549872
30,PA,wOBA,0.126477656,9.077479963,2.910455197
30,PA,2B_pct,0.059216014,1.30487053,1.150618631
30,PA,3B_pct,0.099548485,0.13378545,0.383894513
40,PA,K_pct,0.474480574,8.074536148,3.462791155
40,PA,BB_pct,0.252106929,3.065259117,1.937147358
40,PA,OBP,0.129285048,12.19865643,3.114643317
40,PA,HR,0.249789571,0.939539347,1.101209944
40,PA,HBP,0.119105769,0.359564939,0.634942267
40,PA,X1B,0.133607353,6.00671785,2.422617357
40,PA,wOBA,0.149879672,12.21271721,3.431986844
40,PA,2B_pct,0.049786289,1.754318618,1.327773077
40,PA,3B_pct,0.108078722,0.182341651,0.450445205
50,PA,K_pct,0.521708461,10.01541489,4.048033267
50,PA,BB_pct,0.290408112,3.837651689,2.225378377
50,PA,OBP,0.123810706,15.28599541,3.475382681
50,PA,HR,0.275780665,1.183994752,1.258537634
50,PA,HBP,0.136481245,0.444735979,0.713328768
50,PA,X1B,0.162475717,7.526402099,2.757602509
